objekt,omfång,tid,institution,typavhandlingar,anmärkning
"Folkets Parkföreningen Flora,Trollhättan",A. okänt B. fragment C. okänt,A. okänt B. 1932-52 C. okänt,A. Trollhättans folkrörelsearkiv B. ARAB C. I lokalen,"B. stadgar, historik, årsberättelser, program m m C. protokoll, r'äkenskaper, verksamhetsberättelser, ritningar, fotografier, affischer","A. NAD B. ARAB [samling] Folkets Hus och Parker, övriga landet, vol. 9 C. FHP-enkät"
Falu Folkets Hus och parkförening u p a,"A. 0, 7 hm B. okänt",A. 1896-1966  B. okänt,A. Dalarnas Folkrörelsearkiv B. I lokalen Folkets Hus i Falun,"B. protokoll, korrespondens, verksamhetsberättelser, räkenskaper, invetarieförteckningar, ritningar","A. NAD, FAW, FHP-enkät"
Mora Folkets Park förening u p a,"0, 2 hm",1920-1978,Dalarnas Folkrörelsearkiv,"register, räkenskaper",FAW Den kommunalt ägda Moraparkens handlingar förvaras i lokalen
Rättvik Folkets Hus och parkförening u p a,A. 1 hm   B. okänt,A. 1917-1984  B. okänt,A. Dalarnas Folkrörelsearkiv   B. I lokalen,"protokoll, räkenskaper, verksamhetsberättelser, ritningar, fotografier, affischer","NAD, FHP-enkät, FA"
Särna byggnadsförening Folkets Park,"0, 1 hm",1934-1938,Dalarnas Folkrörelsearkiv,,"NAD, FAW"
Frövi Folkets husförening och Folkets Park,A. 30 vol.,A. 1908-1981,I lokalen FröviFolkets Hus,"protokoll, utgående handlingar, register, inkomna handlingar, ämnesordnade handlingar, program, fastighetshandlingar, ritningarräkenskaper, tryck, affischer, minnesskrift 1939","NAD, FHP-enkät"
Folkets Hus och Folkets Park i Kedjeåsen u p a,"1 vol. 0, 06 hm",1938-,Folkrörelsernas arkiv i Karlskoga,,NAD
Föreningen Folkets Park (Kristinehamn),A. 1 vol.  B. okänt,A. 1935-1943 B. okänt,A. Folkrörelsernas arkiv för Värmland B. I loklaen folkets Hus i Kristinehamn,"A. protokoll B. protokoll, fotografier",A. NAD B. FHP-enkät
Föreningen Folkets Park Raus,1 vol.,1907-1914 (1960),Folkrörelsearkivet i Helsingborg,"protokoll, tryck",NAD
Föreningen Åkers Folkets Park,23 vol.,1935-1964,Strängnäs kommuns centralarkiv,"protokoll, verksamhetsberättelser, register, inkomna handlingar, ämnesordnade handlingar, organisationshandlingar, räkenskaper",nAD
Föreningen Folkets Hus och Park Halmstad,A. 25 vol.  B. fragment,A. 1901-1983  B. 1905,A. Folkrörelsernas arkiv i Södra Halland B. ARAB,"A. protokoll, verksamhetsberättelser, räkenskaper B. enkät",A.  NAD B. ARAB FH och FP samling: övriga landet vol. 5
"Föreningen Folkets Hus och Park u p a Bankeryd  [alt namn Byggnadsföreningen Framåt u p a, Bankeryd]",1 vol.,1948-1965,Jönköpings läns folkrörelsearkiv,,NAD
Folkets Parks Vänner (Eslöv),,,Arbetarrörelsens arkiv i Eslöv,,NAD
Föreningen Gillestugan u p a Jönköping (alt namn Folkets Parkföreningens kaférörelse),12 vol.,1915-1962,Jönköpings läns folkrörelsearkiv,,NAD
Hede Folkets parkförening,,1942-1969,Föreningsarkivet i Jämtlands län,"protokoll, register, räkenskaper","Föreningen bildades 1954, jfr 1942 års förening NAD"
Kolsva Folkets Park,,1923-1976,Hedströmsarkivet,,NAD
Köpingebro Folkets Park,1 vol.,1929-1974,Stadsarkivet i Ystad,"protokoll, verksamhetsberättelser, räkenskaper",NAD
Föreningen Laxå Folkets Hus och Folkets Park u p a,"1, 19 hm",1943-1969,Laxå kommuns centralarkiv,,NAD
Lerums Folkets parkförening,,,Lerums kommunarkiv,,
Pålsboda Folkets Hus och Folkets parkförening,,1944-1978,I lokalen,"protokoll, utgående handlingar, verksamhetsberättelser, register, inkomna handlingar, ämnesordnade handlingar, organisationshandlingar, fastighetshandlingar, räkenskaper, kartor, ritningar","FHP-enkät, NAD"
Sikfors Folkets parkförening,,1926-1937,"Privat förvaring, kontakta Folkrörelsernas arkiv i Örebro","protokoll, utgående handlingar, räkenskaper",NAD
Strängnäs Folkets Hus och parkförening,25 vol.,1922-1987,Strängnäs kommuns centralarkiv,"protokoll, utgående handlingar, verksamhetsberättelser, register, inkomna handlingar, ämnesordnade handlingar, organisationshandlingar, fastighetshandlingar, räkenskaper, ritningar, pressklipp",NAD
Tidaholms Folkets parkförening,A. okänt B. fragment,A. okänd B. spridda år,A. Tidaholms kommuns centralarkiv B. ARAB,"A. okänt B. fotografier, årsberättelser, klipp m m","NAD ARAB [samling] Folkets Hus och Parker, övriga landet, vol. 9"
Torshälla Folkets Park u p a,,1928-1942,Eskilstuna stadsarkiv,"protokoll, räkenskaper",NAD
Almby Folkets Hus byggnadsförening u p a,3 vol.,1932-1973,Folkrörelsernas arkiv i Örebro,,NAD
Anderstorps byggnadsförening u p a,,A. 1934-1977,A. Anderstorps Folkets Hus; kontakta Folkrörelsernas arkiv för Jönköpings län,"A. protokoll, utgående handlingar, register, inkomna handlingar, organisationshandlingar, räkenskaper, kartor, ritningar","FHP-enkät, NAD"
Ankarsunds Folkets husförening,,1953-1973,"privat förvaring, kontakta Folkrörelserkivet i Västerbotten","protokoll, verksamhetsberättelse, register, inkomna handlingar, organisationshandlingar, fastighetshandlingar, räkenskaper",
Arbetarrörelsens maskincentral Folkets Hus Östersund,1 vol.,1983,Föreningsarkivet i Jämtland,,NAD
Aspabruks Folkets husförening,1 vol.,1952-1977,Folkets Hus Aspa bruk,"protokoll, register, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckning, ritningar",
Avesta Folkets husförening,90 vol.,1902-1967,Avesta kommuns centralarkiv,"protokoll, verksamhetsberättelser, historiker, register, räkenskaper, fotografier",NAD
Björklidens Folkets husförening,,1937-1950,Folkrörelsernas arkiv i Norrbotten,organisationshandlingar,NAD
"Blötbergets Folkets Hus, Ludvika",,1904-1962,Kopparbergs länsarkiv,,NAD
Boo Folkets husförening,A. okänt B. 1 vol.,A. 1983-  B. 1983-1991,A. I lokalen Boo Folkets Hus källare under Nybodaskolan B. Nacka lokalhistoriska arkiv,"A. protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckning, ritningar, fotografier, affischer, videofilmer, pressklipp B.pressklipp",B. NAD: Nacka lokalhistoriska arkiv 1 vol. pressklipp 1983-1991
Borlänge biografförening “Folkan”,"0, 1 hm",1919-1932,Dalarnas Folkrörelsearkiv,,Ingår i Borlänge Folkets Hus- och parkförenings arkiv
Borlänge kooperativa bageriförening,"0, 1 hm",1908-1910,Dalarnas Folkrörelsearkiv,,Ingår i Borlänge Folkets Hus- och parkförenings arkiv
Bredsjö Folkets husförening,,1918-1979,Folkrörelsernas arkiv i Örebro,"protokoll, register, korrespondens, fastghetshandlingar, räkenskaper",FHP-enkät
Brevers Folkets husförening,15 vol.,1979-1988,I lokalen Brevers Folkets Hus,"protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar",FHP-enkät
Bruksvallarnas Folkets husförening,,1932-1950,"privat förvaring, kontakta Förenignsarkiven i Jämtlands län","protokoll, räkenskaper",NAD
Brännfors Folkets husförening,,1912-1936,"Folkrörelsernas arkiv i Västerbotten, Nordanå","protokoll, utgående handlingar, ämnesordnade handlingar, organisationshandlingar, räkenskaper",NAD
Brännåker Folkets husförening,,1951-1992,Privat förvaring kontakta folkrörelsearkivet i Västerbotten,"protokoll, organisationshandlingar, räkenskaper",
"Byggnadsföreningen Folket, alt. Byggnadsföreningen Folkets Hus, alt Röda Kvarn (Töre)",,1935-1970,"privat förvaring, kontakta FA Norrbotten","protokoll, räkenskaper,",NAD. Jfr Kalix Folkets Hus.
Byggnadsföreningen Folkets Hus u p a Lindesnä-Nås,,1947-1976,"privat förvaring, kontakta Dalarnas Folkrörelsearkiv","protokoll, räkenskaper",NAD
Byggnadsföreningen Folkets Hus u p a Nattavaara,,1949-1976,"privat förvaring, kontakta folkrörelsearkivet i Norrbotten","protokoll, räkenskaper",
Byggnadsföreningen Folkets Hus i Nilivaara,,1945-1976,"privat förvaring, kontakta folkrörelsearkivet i Norrbotten","protokoll, inkomna handlingar, räkenskaper",NAD
Byggnadsföreningen Folkets Hus u p a Nornäs,A. 17 vol.,1945-,I lokalen,"protokoll, verksamhetsberättelser, register, inkomna handlingar, organisationshadnlignar, ritningar, tryck, räkenskaper","NAD, FHP-enkät"
"Byggnadsföreningen Kämpen (Folkets Hus Sund, Skön)",1 vol.,1918-1932,"Föreningsarkviet i Västernorrland, Medelpadsdepån",protokoll,NAD
"Byggnadsföreningen Folkets Hus i Tranås, Centrumbiografen",6 vol.,1936-1975,Jönköpings läns folkrörelsearkiv,,NAD
Drängsmarks Folkets husförening,,1970,Privat förvaring kontakta Folkrörelsearkivet i Västerbotten,"protokoll, räkenskaper",NAD
Dösjebro Folkets Hus,,1920-1969,Kävlinge kommuns centralarkiv,"protokoll, register, räkenskaper",NAD
Dösjöbro Folkets Hus andelsförening,A. fragment  B. fragment,"A. 1935-  B. 1924,  1929, 1955",A. Arbetarrörelsens arkiv i LandskronaB. ARAB,"A. verksamhetsberättelser B. stadgar, andelsbevis, klipp",ARAB FH och FP samling: övriga landet vol. 5
Eskilstuna Folkets husfond,,1899-1944,Eskilstuna stadsarkiv,"protokoll, utgående handlingar, verksamhetsberättelser, register, inkomna handlingar, ämnesordnade handlingar, organisationshandlingar, räkenskaper","FA, NAD"
Floda Folkets husförening,3 vol.,1936-1980,Katrineholms Arbetarearkiv,"protokoll, verksamhetsberättelser, register, ämnesordnade handlingar, räkenskaper, fotografier, tryck",NAD
Flygsfors Folkets Hus,18 vol.,1931-1965,Nybro kommuns centralarkiv,"protokoll, organisationshandlingar, fastighetshandlingar, räkenskaper, kartor",NAD
Folkbiografen Koskullskulle,,1953-1960,Folkrörelsernas arkiv i Norrbotten,räkenskaper,"Ingår  i Koskullskulls Arbetareförenings Folkets Hus u p a, NAD"
Folkets Hus Fiskeby,2 vol.,1907-1925,Folkrörelsernas arkiv i Norrköping,protokoll mm,NAD
Folkets Hus Kävlinge,,,Kävlinge kommuns centralarkiv,NM: fotografi,"NAD, NM"
Folkets Hus Söderköping,5 vol.,1912-1963,Folkrörelsernas arkiv i Norrköping,protokoll m m,NAD
Folkets Hus Broarna,5 vol.,1925-1987,Norbergs folkminnesarkiv,"protokoll, ämnesordnade handlingar, räkenskaper",NAD
Föreningen Folkets Hus Café Ställdalen,,1917-1919,Ljusnarsbergs kommunarkiv,,NAD
Folkets Hus diskussionsklubb i Härnösand,1 vol.,1906,Föreningsarkivet i Västernorrland,protokoll,NAD
FHR: Upplands distrikt,,1941-1956,Folkrörelsearkivet för Uppsala län,,NAD
"Folkets Hus Elvehultsvik, Påskallavik",3 vol.,1909-1965,Folkrörelsernas arkiv för mellersta Kalmar län,"protokoll, räkenskaper",NAD
Folkets Hus Fågelsta,1 vol.,1937-1964,Folkrörelsernas arkiv i Motala,protokoll m m,NAD
Folkets Hus förening Johannisfors u p a Forsmark,A. 1 vol.  B. fragment,A. okänt  B. 1922,A. Folkrörelsearkivet för Uppsala län  B. ARAB,"A. okänt  B. stadgar, invigningsprogram med historik, andelsbevis","A. NAD  B. ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment"
Folkets Hus förening Upplands-Ekeby,fragment,1931-1945,Folkrörelsearkivet för Uppsala län,,NAD
Folkets Hus i Gusum,,1935-1986,"Privat förvaring, kontakta Östergötlands läns föreningsarkiv","protokoll, historiker, ritningar",
Föreningen Folkets Hus i Hallsberg u p a,62 vol.,1893-1983,Privat förvaring och Folkrörelsernas arkiv i Örebro län,"protokoll, utgående handlingar, register, inkomna handlingar, ämnesordnade handlingar, fastighetshandlingar, räkenskaper, ritningar","NAD, FHP-enkät Upptog 1924 föreningen folkets Park u p a i Hallsberg"
Föreningen Folkets Hus i Hörken,2 vol.,1906-1968,Folkrörelsernas arkiv i Örebro län,,NAD
Föreningen Folkets Hus i Kilsmo u p a,2 vol.,1938-1966,Folkrörelsernas arkiv i Örebro län,,NAD
Folkets Hus i Malmö Aktiebolag,1 vol.,1943-1963,Skånes Arkivförbund,"verksamhetsberättelser, organisationshandlingar, tryck",NAD
Folkets Hus kooperativa handelsförening Nättraby,,1898-1900,Stockholms Företagsminnen,organisationshandlingar,NAD
,,,,,
Folkets Hus  i Norberg ekonomisk förening,140 vol.,1905-1995,Norbergs folkminnesarkiv,"protokoll, ämnesordnade handlingar, inkomna handlingar, tryck, fotografier, räkenskaper",
Folkets Hus Skrivbyrå Förening Uppsala,"0, 36 hm",1959-1985,Folkrörelsearkivet för Uppsala län,,NAD
"Folkets Hus Teateramatörer, Amatörklubben Tiljan, Alingsås",,1925-,Folkrörelsernas arkiv i Alingsås,,NAD
Föreningen Folkets Hus u p a Ställdalen (Ljusnarsberg),2 hm,1902-1972,Ljusnarsberg kommunarkiv,"register, ämnesordnade handlingar, organisationshandlingar",NAD Se även Föreningen Folkets Hus Café Ställdalen
Folkets Hus u p a Motala,132 vol.,1942-1991,Folkrörelsernas arkiv i Motala,protokoll m m,NAD
Folkets Hus Motala verkstad,64 vol.,1889-1969,Folkrörelsernas arkiv i Motala,protokoll m m,NAD
Folkets Husfonden Råsunda,1 vol.,1948-1952,"Privat förvaring, kontakta Solna stadsarkiv",räkenskaper,NAD
Folkets husförening Kimstad,1 vol.,1919-1948,Folkrörelsernas arkiv i Norrköping,protokoll m m,NAD
FHR Örebro läns distrikt,,1939-1964,Folkrörelsernas arkiv i Örebro län,,NAD
Avesta Nya Folkets husförening,"0, 3 hm",1934-1965,Dalarnas Folkrörelsearkiv,,NAD
Brunnsvik-Sörviks Folkets husförening,A. 18 vol  B. okänt,"A. 1895, 1904-1979  B. okänt",A. Dalarnas Folkrörelsearkiv B. Sörviks Folkets Hus,"A.protokoll, verksamhetsberättelser, stadgar,utgående skrivelser, liggare och register, inkomna handlingar, ämnesordnade handlingar, historik, räkenskaper, ritningar, tryck B. protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckningar","FAW, FHP-enkät"
Falu arbetareförening,"2, 9 hm",1866-1968,Dalarnas Folkrörelsearkiv,,"NAD, FA"
Folkärna Södra Nya Folkets husförening,"A. 0, 1 hm B. fragment",A. 1908-1959 B. 1939,A. Dalarnas Folkrörelsearkiv B. ARAB,B. stadgar,"A. NAD, FA B. ARAB [samling] Folkets Hus och Parker, övriga landet, vol. 9"
Fors Folkets husförening,"A. 0, 1 hm B. fragment",A. 1902-1937 B. 1920,A. Dalarnas Folkrörelsearkiv  B. ARAB,B. stadgar,A . NAD  B. ARAB FH och FP samling: övriga landet vol. 5
Garpenbergs Folkets husförening,"1,1 hm",1905-1996,Dalarnas Folkrörelsearkiv,,"NAD, FA"
Grytnäs Folkets husförening,"0, 2 hm",1919-1947,Dalarnas Folkrörelsearkiv,,"NAD, FA"
Gräsberg Folkets husförening,"0, 4 hm",1904-1976,Dalarnas Folkrörelsearkiv,"protokoll, räkenskaper, verksamhetsberättelser, fotografier","NAD, FA, FHP-enkät"
Horndals Folkets husförening,"0, 1 hm",1904-1967,Dalarnas Folkrörelsearkiv,,"NAD, FA"
Hultebo LS byggnadsförening u p a,"0, 1 hm",1916-1954,Dalarnas Folkrörelsearkiv,,"NAD, FA"
Idkerberget kooperativa Folkets husförening,"0, 1 hm",1904-1956,Dalarnas Folkrörelsearkiv,,"NAD, FA"
Järphöjden,"0, 1 hm",1909-1980,Dalarnas Folkrörelsearkiv,,"NAD, FA"
Krylbo Folkets husförening,"0, 2 hm",1909-1982,Dalarnas Folkrörelsearkiv,,"NAD, FA"
Kvarnsvedens Folkets husförening,"2, 3 hm",1906-1987,Dalarnas Folkrörelsearkiv,,"NAD, FAW"
Lingheds Folkets Hus byggnadsförening u p a,"0, 2 hm",1908-1981,Dalarnas Folkrörelsearkiv,,"NAD, FAW"
Ludvika byggnadsförening u p a,"2,2 hm",1902-1980,Dalarnas Folkrörelsearkiv,,"NAD, FAW, ARAB"
Mora Folkets Hus byggnadsförening u p a,"0, 2 hm",1937-1977,Dalarnas Folkrörelsearkiv,,"NAD, FAW"
Mora-Noret Folkets husförening,"0, 3 hm",(1912) 1926-1986,Dalarnas Folkrörelsearkiv,"protokoll, räkenskaper, verksamhetsberättelser","NAD, FAW, FHP-enkät"
Norbo Folkets husförening,"0, 1 hm",1906-1909,Dalarnas Folkrörelsearkiv,,"NAD, FAW"
Ornäs Folkets husförening,"0, 1 hm",1908-1963,Dalarnas Folkrörelsearkiv,,"NAD, FAW"
Smedjebackens Folkets husförening,"0, 4 hm",1904-1979,Dalarnas Folkrörelsearkiv,,"NAD, FAW"
Säter Folkets husförening,"0, 3 hm",1906-1979,Dalarnas Folkrörelsearkiv,,"NAD, FAW"
Vad byggnadsförening u p a,"0, 2 hm",1921-1973,Dalarnas Folkrörelsearkiv,,"NAD, FAW"
Vikmanshyttan Folkets husförening,"0, 5 hm",1907-1978,Dalarnas Folkrörelsearkiv,,"NAD, FAW"
Vintjärn Folkets husförening,"0, 2 hm",1909-1977,Dalarnas Folkrörelsearkiv,,"NAD, FAW"
FHR: Kopparbergs län,"0, 1 hm",1944-1948,Dalarnas Folkrörelsearkiv,,"NAD, FA"
Folkets husföreningen Figeholm,1 vol.,1948-1991,Folkröelsearkivet för mellersta Kalmar län,"protokoll, verksamhetsberättelser, organisationshandlingar, fastighetshandlingar, räkenskaper",NAD
Folkets husföreningen Hässledalen,1 vol.,1927-1931,Folkrörelsearkivet i Blekinge,protokoll m m,NAD
Folkets husföreningen i Skattungbyn u p a,,1917-1957,"Privat förvaring, kontakta Dalarnas Folkrörelsearkiv","protokoll, ämnesordnade handlingar, organisationshandlingar, fastighetshandlingar, räkenskaper",NAD
Folkets  husföreningen u p a Helsingborg,197 vol.,1873-1994,Folkrörelsearkivet i Helsingborg,"protokoll, utgående handlingar, verksamhetsberättelser, historiker, register, inkomna handlingar, ämnesordnade handlingar, organisationshandlingar, personalhandlingar, fastighetshandlingar, räkenskaper, ritningar, teckningar, målningar, fotografier, spelfilm, ljudupptagningar, tryck, klipp, affischer, föremål","NAD, FHP-enkät"
Folkets husföreningen Västervik,,1949-1993,Norra Kalmar läns folkrörelsearkiv,,NAD se Folkets Park
,,,,,
Funktionärsklubb inom Folkets Hus Uppsala,"0, 9 hm",,Folkrörelsearkivet för Uppsala län,,NAD
"Föreningen Folkets Hus Axland, Bogen, Arvika",,1925-1979,Privat förvaring kontakta Folkrörelsernas arkiv för Värmland,"protokoll, ämnesordnade handlingar, organisationshandlingar, räkenskaper",NAD
Föreningen Folkets Hus Gunnarskog,,1957-1983,Privat förvaring kontakta Folkrörelsernas arkiv för Värmland,protokoll mm,NAD
"Folkets husföreningen Lindfors, Nyed",25 vol.,1921-1974,Folkrörelsernas arkiv för Värmland,"protokoll, register, inkomna handlingar, ämnesordnade handlingar, räkenskaper",NAD
"Samling: Folkets Hus och Parker, inventering 1974-1975",3 hm,1974-1975,Arkitekturmuseet,"uppmätningskartor, ritningar, fotografier m m huvudsakligen omfattande norra Stockholms län",Arkitekturmuseets accessionsnummer AM 1975-11 och fotoaccession 1975-110
Föreningen Folkets Hus Lönnskog,1 vol.,1948-1985,Folkrörelsernas arkiv för Värmland,"protokoll, ämnesordnade handlingar, räkenskaper",NAD
Föreningen Folkets Hus Nykroppa,45 vol.,1908-1971,Folkrörelsernas arkiv för Värmland samt i lokalen,"protokoll, korrespondens, verksamhetsberättelser, inventarieförteckningar, ämnesordnade handlingar, räkenskaper, ritningar","NAD, FHP-enkät"
Föreningen Folkets Hus Valdemarsvik,A. okänt  B. fregment,A. 1918-1969 B.  1932-61,"A. Privat förvaring, kontakta Östergötlands läns Föreningsarkiv B. ARAB","A. protokoll, verksamhetsberättelser, historiker, räkenskaper, kartor, teckningar, målningar B. fotografier, årsberättelser",NAD ARAB: Folkets och Parker: övriga landet vol 10 [samling]
