författare,titel,ortförlag,utgivningsår,omfång,medförfattare,medarbetare,utgivare,serie,isbn,anmärkning,klassificering,placeringarab
,Byggnadsföreningen Heijmdal Tumba 1908-1933.,Tumba,1934,9 s.,,,,,,,Ohma-cz Tumba,Br/25019
,Minnesskrift med anledning av Västanfors Folkets husförenings 10-års-jubileum.,Eskilstuna : Folket,1916,13 s. : ill.,,,,,,,Ohma-cz Västanfors,Br/27267
"Hedberg, Aug.",Föreningen Folkets Hus och Park i Västerås u.p.a. 25 år 14/5 1899-1924 / Aug. Hedberg.,Västerås,1924,31 s. : ill.,,,,,,,Ohma-cz Västerås Ohmb-cz Västerås,Br/27242
"Löfstrand, Stig",Nytt Folkets Hus i Västerås sextionde verksamhetsåret / Stig Löfstrand.,Västerås : [Folkets Hus och Park],1959,47 s. : ill.,,Folkets Hus (Västerås),,,,,Ohma-cz Västerås,Br/27492
"Lidström, Axel",Från Gamla gatan till Medborgarhuset. Historik över Folkets hus-rörelsen i Örebro. Utarb. på uppdrag av folketshusföreningens styrelse.,Örebro,1964,65 s. : ill.,,,,,,,Ohma-cz Örebro,38220
,Örebro Folkets husförening. ....kortfattad 10-årsöversikt.,Örebro,1939,15 s.,,,,,,,Ohma-cz Örebro,Br/25357
"Alm, Birger",Folkparkerna 50 år. Svenska sommarhagar blev kulturella nöjesplatser.,Stockholm : Folkets Parkers Centralorganisation,1955,"[14, 88] s. : ill.",,"Larsson, Gustaf fotograf",,,,,Ohmb-c,2753 379
"Engel, Ann Mari","Teater i Folkets park 1905-1980 : arbetarrörelsen, folkparkerna och den folkliga teatern : en kulturpolitisk studie / Ann Mari Engel.",Stockholm : Akademilitt.,1982,222 s. : ill.,,,,,91-7410-240-0,Diss. Stockholm : Univ. - With an English summary,Ohmb-c,"Ref 2:3 67/10772-3, 67/12819-20"
"Engel, Ann Mari","Teater i Folkets Park 1905-1980 : arbetarrörelsen, folkparkerna och den folkliga teatern : en kulturpolitisk studie : Repertoarbilaga : Teaterturnéer och repertoarer i folkparkerna 1905-1980.",Stockholm : Akademilitt.,1982,92 s.,,,,,91-7410-247-8,,Ohmb-c,"REF 2:3 67/10772-3, 67/12820"
"Berner, Rudolf",Arbetarrörelsens kulturgärning / Rudolf Berner.,Stockholm : Beklädnadsfolket,1949,19 s.,,,,,,Särtr. ur: Beklädnadsfolket,Ohmb-c,Br/5141
,Folkets Parkers Centralorganisation : en kortfattad redogörelse över folkparkernas utveckling 1905-1930.,Eskilstuna : Hanssons tr. AB,1930,99 s. : ill.,,,,,,,Ohmb-c,Q/1608 Q1212
,Folkparken // : organ för Sverges folkparker / utg. av Parkernas centralorganisation.,Eskilstuna,1915-1940,,,,,,,Fortsättes av Scen och salong,Ohmb-c,C23/17
,Scen och salong // : tidskrift för teater och film : organ för folkparkerna.,Stockholm : FPC,"1941-1965, 1981-",,,,,,ISSN 0036-5718,1941-1947 med undertitel: Tidning för samlingslokaler och kulturellt nöjesliv. - Fortsätter Folkparkerna,Ohmb-c,C21/05
"Englund, Eric",Avesta Folkets Park 1902-1952. De röjde park och byggde hus. En krönika till Avesta Folkets Parks 50-årsjubileum på parkstyrelsens uppdrag.,Falun,1952,83 s.,,,,,,,Ohmb-cz Avesta,28931
